CCG_CODE,TOTAL_ALL,TOTAL_MALE,TOTAL_FEMALE,MALE_0-4,MALE_5-9,MALE_10-14,MALE_15-19,MALE_20-24,MALE_25-29,MALE_30-34,MALE_35-39,MALE_40-44,MALE_45-49,MALE_50-54,MALE_55-59,MALE_60-64,MALE_65-69,MALE_70-74,MALE_75-79,MALE_80-84,Male_85-89,MALE_90-94,MALE_95+,FEMALE_0-4,FEMALE_5-9,FEMALE_10-14,FEMALE_15-19,FEMALE_20-24,FEMALE_25-29,FEMALE_30-34,FEMALE_35-39,FEMALE_40-44,FEMALE_45-49,FEMALE_50-54,FEMALE_55-59,FEMALE_60-64,FEMALE_65-69,FEMALE_70-74,FEMALE_75-79,FEMALE_80-84,FEMALE_85-89,FEMALE_90-94,FEMALE_95+
07R,260759,126930,133829,6494,5867,5186,5730,13145,16573,16500,12940,10041,8220,6519,5204,4012,3622,2554,1950,1337,703,286,47,6119,5787,5288,6805,20630,18609,15538,10977,8566,7233,5932,4941,4273,4073,2972,2436,1704,1137,619,190
07T,291240,144584,146656,10912,9612,8121,7373,8472,15327,18406,14621,11831,10646,8808,6363,4514,3281,2309,1936,1199,602,205,46,10226,9323,7848,7414,10712,19831,19363,13475,10077,9060,7898,5884,4346,3495,2595,2151,1467,939,444,108
07V,393511,197944,195567,14043,13247,11542,12390,12335,14921,16383,15824,14906,15423,14233,11177,8806,7742,5278,4383,3011,1555,622,123,13426,12770,11254,11332,12454,15553,16456,14552,13625,14143,13423,10456,8565,7905,6051,5207,3931,2650,1384,430
07W,416523,215701,200822,14614,13974,11726,11113,13541,20712,23450,21395,17760,15586,13437,10435,8125,6620,4732,4000,2561,1291,535,94,13741,13208,11094,10595,13663,19680,20869,17162,14358,13244,11671,9764,8072,6949,5410,4612,3367,2042,1011,310
07X,318802,154839,163963,11887,11948,10260,9974,9295,11076,11942,11657,11367,11547,10500,8537,6459,5867,4394,3677,2520,1381,452,99,11412,11357,9830,9502,10267,13150,13471,12601,11592,11609,10695,8514,6900,6353,5103,4450,3501,2158,1159,339
07Y,298465,153460,145005,11117,10074,7895,7713,9012,15006,17569,15163,12262,10648,9319,7357,5836,4997,3506,2783,1873,948,317,65,10448,9527,7576,7327,9281,14205,15563,12583,10283,9502,8397,7165,5966,5295,3867,3205,2389,1419,809,198
08A,280420,138455,141965,11122,9997,7831,7765,9004,12012,13114,12238,11102,10280,9059,6958,5192,4605,3106,2447,1565,761,263,34,10566,9579,7579,7860,10461,13410,14149,12093,10408,9598,8331,6571,5220,4906,3615,2997,2173,1489,762,198
08C,203468,100151,103317,5973,5483,4556,3965,5700,12161,14109,10590,8369,7021,5890,4266,3471,2970,2114,1640,1048,582,193,50,5699,5455,4393,4151,8183,15521,13134,9082,7588,6594,5327,4101,3535,3170,2566,1953,1387,891,465,122
08D,295081,145945,149136,9739,9055,7926,7614,8693,13991,15918,14059,12444,11481,9799,7176,5335,4292,3091,2574,1673,757,266,62,9347,8798,7791,7607,10499,16058,16039,13205,11369,10882,9193,7092,5708,4768,3619,3066,2135,1213,586,161
08E,253888,126975,126913,8548,8191,7517,7920,7948,10570,11485,10534,9010,8312,8020,6803,5885,5081,3804,3346,2265,1175,483,78,8277,7764,6733,6840,8211,10793,11258,9432,8081,8374,7910,7039,6061,5642,4419,3987,2921,1930,927,314
08F,260372,126445,133927,8185,7884,7295,7759,7990,8239,8318,7927,8501,9387,9259,8051,6775,6836,4659,3958,3033,1664,639,86,7771,7614,6987,7531,8053,9117,9095,8238,8528,9520,9387,7883,6953,7465,5595,5056,4357,2987,1458,332
08G,298081,151337,146744,10501,9993,8503,9423,11536,11726,12630,11988,11118,11148,10371,8242,6538,5722,4108,3400,2484,1305,523,78,9899,9592,8113,8817,10899,12168,12210,10791,9796,9848,9227,7532,6137,6047,4547,4271,3347,2073,1127,303
08H,231566,113845,117721,6645,5671,4779,4920,7362,14021,15849,11680,9223,8491,6989,5001,3912,3292,2281,1745,1150,600,208,26,6420,5427,4582,4913,9756,17576,16360,10613,8055,7515,6508,4813,3851,3514,2605,2123,1597,949,442,102
08J,198772,99227,99545,6434,6159,5224,5380,7323,7376,8217,8836,8662,7975,6542,5272,4325,4007,2726,2025,1479,834,346,85,6266,6055,5220,5967,9072,7777,8287,7952,7502,6649,6004,4795,4209,4117,2852,2423,1958,1385,825,230
08K,374967,189532,185435,11058,10105,8580,8286,11329,23065,24183,20076,16751,15260,12566,8710,6071,4674,3289,2553,1756,834,321,65,10927,9657,8375,8209,14901,27464,23184,16870,13479,12373,10699,7866,5732,4674,3659,3005,2182,1423,594,162
08L,307341,150809,156532,11726,9989,8188,7869,9238,13508,15351,14394,12596,11883,10257,7485,5329,4281,3143,2579,1709,878,336,70,11019,9822,7883,7948,11421,16080,16095,13981,11632,11255,10268,7281,5253,4645,3745,3274,2373,1584,763,210
08M,371169,195591,175578,14880,13242,11023,10630,14860,25309,24823,19024,14853,12549,10356,7819,5449,3712,2572,2214,1415,607,216,38,14352,12898,10740,10629,15260,21340,19484,14440,11709,10551,8937,6841,5353,4024,3192,2606,1661,963,480,118
08N,296599,147490,149109,11541,10696,9488,8916,9295,12471,13979,12573,10541,9839,8867,7410,6017,5282,3622,3013,2149,1218,503,70,11048,10183,8909,8405,9485,13456,14472,11708,9905,9541,8623,7423,6322,5468,4223,3646,2983,2028,984,297
08P,206994,103314,103680,7248,6921,5568,4949,4755,5854,7799,9724,9946,9122,7792,5997,4921,4605,3034,2184,1529,902,385,79,6947,6633,5632,5177,5595,6498,8473,9196,8800,7949,6802,5416,4882,4820,3408,2619,2122,1546,889,276
08Q,305461,153511,151950,10451,9161,7386,7279,10385,16604,18032,15399,13339,12155,10293,7306,4977,3809,2595,2080,1277,697,249,37,10247,8733,7147,7308,13100,18590,17509,13730,11199,10351,9067,6623,4736,4023,3073,2652,1922,1205,584,151
08R,217111,110257,106854,7659,7183,5737,5430,5959,9181,11305,11054,9503,8368,7208,5632,4424,3907,2717,2205,1570,801,343,71,7383,6940,5463,5156,6533,9777,10762,9318,7853,7190,6525,5226,4482,4026,3032,2640,2144,1380,787,237
08T,188345,93270,95075,6687,6307,5444,5545,5362,6039,6866,7303,7392,7547,6755,5456,4290,4050,2825,2334,1685,956,359,68,6153,5919,5307,5264,5316,6402,7467,7072,6994,7342,6593,5162,4358,4409,3237,2957,2349,1659,878,237
08V,291721,150636,141085,10605,9074,7676,7327,12251,22097,22316,16488,11626,8391,6558,5101,3365,2427,1758,1662,1132,562,182,38,10142,8780,7608,7512,14496,23681,19871,12503,8059,6091,5110,4255,3520,2645,2210,1864,1429,865,355,89
08W,298509,151508,147001,11469,10166,8592,8193,9884,14421,15532,14128,12458,11229,9533,7289,5426,4345,3157,2716,1715,868,327,60,10786,9686,8228,7773,10466,14878,14750,12491,10757,10226,8814,6838,5502,4637,3597,3019,2150,1431,767,205
08X,372875,186100,186775,12687,10319,7816,7171,9824,21037,26582,22449,17038,13199,10559,7490,5697,4922,3486,2792,1715,907,347,63,12167,9973,7709,7341,14287,26987,25652,18503,13214,11038,9033,6887,6001,5387,4103,3389,2478,1555,830,241
08Y,239076,120458,118618,6584,6101,5096,4659,5914,10042,13051,12835,12006,10805,9007,6539,5206,4427,3210,2329,1451,773,330,93,6230,5846,5003,4711,7866,13562,14351,11244,9397,8353,7087,5631,4989,4487,3379,2629,1769,1208,646,230
09A,202531,106451,96080,4666,4178,3582,4390,10561,11958,12441,11265,9649,8293,6846,5124,3859,3318,2316,1731,1225,710,271,68,4496,4027,3565,4585,12093,11668,10819,8453,6538,5578,5028,4141,3659,3416,2488,2127,1616,1084,520,179
09C,127057,62414,64643,3886,4061,4036,4226,3721,3694,3693,3698,4333,4988,4628,3683,3314,3631,2598,1916,1256,705,305,42,3771,3984,3823,3785,3683,4091,3889,3853,4651,4987,4422,3707,3480,3963,2831,2158,1654,1127,600,184
09D,307741,154365,153376,7800,7787,7012,8386,13175,13571,13462,12787,13660,13028,10921,8188,6668,6145,4178,3220,2317,1378,554,128,7497,7534,6774,9251,15713,13939,12901,11594,11869,11249,9552,7164,6196,6082,4499,3895,3286,2539,1417,425
09E,217260,105858,111402,5114,5611,5760,8001,10594,7134,6046,5550,6372,7125,6973,6267,5875,6533,4716,3722,2360,1398,603,104,4865,5236,5253,8592,12149,6788,5854,5485,6614,7185,7037,6367,6129,7159,5123,4115,3288,2412,1353,398
09F,190007,91497,98510,5007,5048,4793,5474,5195,5013,4972,4717,5713,6424,6548,5668,5464,6470,4896,4124,3058,1914,837,162,4705,4539,4543,5426,5151,5382,5230,4991,5756,6555,6588,5990,6182,7217,5590,4891,4265,3127,1853,529
09G,498740,242447,256293,13058,13382,12564,13652,13474,13283,13409,12921,15696,18219,17618,15495,14786,17002,13091,10485,7589,4507,1922,294,12121,12404,11862,13208,13292,13204,13479,13394,16072,18030,17856,16048,15747,18926,14695,12601,10287,7515,4308,1244
09H,129004,64992,64012,4650,4204,3912,3972,3864,4774,5646,5056,4958,4896,4592,3795,2969,2697,1745,1283,1043,659,247,30,4198,3992,3537,3544,3918,5142,5493,4799,4412,4461,4182,3675,3041,2805,1853,1645,1626,1082,491,116
09J,256379,125911,130468,8612,8331,7651,7664,7599,8455,8435,8087,8822,9611,8950,7568,6489,6414,4753,3688,2769,1465,468,80,8373,8051,6985,7401,7753,9090,9279,8218,8819,9554,8906,7425,6644,7039,5177,4557,3600,2208,1102,287
09L,177556,87540,90016,5798,5785,5088,5155,4343,5054,5663,6360,6828,7049,6690,5447,4605,4705,3107,2488,1717,1152,430,76,5677,5470,4994,4825,4456,5381,6218,6395,6720,6823,6294,5200,4673,4713,3601,2901,2541,1856,972,306
09N,220882,109820,111062,6157,6480,6378,6944,7455,7138,6885,7243,8153,8380,8063,6796,5767,5792,4205,3248,2517,1446,659,114,5844,6197,5931,6976,7777,6481,6658,6970,7725,8091,7830,6606,5698,6178,4629,3979,3285,2389,1403,415
09P,184794,90363,94431,4843,4969,4815,5459,4915,4918,4769,4635,5625,6755,6822,5876,5867,6725,4766,3707,2596,1528,654,119,4574,4761,4527,5088,4818,4993,4788,4702,5663,6645,6629,6130,6226,7127,5234,4489,3516,2570,1529,422
09W,293886,144923,148963,9749,9543,8825,9419,9520,9992,9770,9205,10030,10922,10460,8742,7683,7762,5224,3849,2545,1201,406,76,9141,9268,8568,9000,9961,10338,10238,9496,9989,10817,10546,8776,7778,8076,5466,4646,3371,2104,1124,260
09X,231180,113846,117334,6579,6976,6999,7123,5612,6052,6569,7093,8507,9305,8984,7526,6471,6672,4732,3551,2789,1540,659,107,6252,6762,6486,6758,5444,6077,6733,7362,8691,9194,8731,7438,6597,7065,5171,4398,3590,2693,1464,428
09Y,361415,179876,181539,11961,11590,9999,9554,9047,10717,12670,13839,14296,14549,13781,11133,9096,8788,6382,5345,3876,2146,931,176,11329,10867,9436,9074,9545,11541,13347,13551,13563,13714,12699,10411,8814,9215,7025,6237,5125,3453,2027,566
10A,202205,99405,102800,5581,5676,5499,6152,5670,5595,5324,5213,6226,7435,7355,6625,6338,7095,5153,3850,2565,1370,559,124,5405,5486,5165,5757,5671,5615,5680,5386,6471,7198,7199,6691,6514,7275,5461,4328,3374,2400,1349,375
10C,93620,46371,47249,2779,2826,2659,2693,2474,2721,2875,3196,3670,3803,3656,2950,2451,2479,1880,1441,1050,560,178,30,2628,2730,2575,2549,2523,2731,3095,3165,3592,3730,3436,2871,2487,2681,1996,1709,1358,850,426,117
10D,108467,53874,54593,3631,3593,3216,3413,3394,3443,3323,3115,3569,3988,3865,3369,3011,3291,2267,1633,998,554,175,26,3405,3284,3158,3271,3301,3519,3530,3202,3635,3903,3773,3224,2986,3472,2350,1836,1368,840,436,100
10E,143649,70091,73558,4283,4351,4223,4531,4202,4059,3972,3774,4378,4824,4905,4344,4178,4679,3499,2587,1787,1010,432,73,4022,4059,3769,4160,4377,4400,4193,3947,4438,4959,4904,4377,4489,5079,3822,3037,2442,1792,1015,277
10G,138896,69082,69814,4305,4489,4427,4451,3732,4150,4600,4893,5499,5747,5529,4454,3619,3215,2227,1697,1174,622,221,31,4112,4297,4295,4311,3694,4387,4822,4932,5424,5510,5344,4232,3464,3430,2358,2026,1497,995,555,129
10H,331548,163162,168386,10013,10719,10137,9796,8723,9154,9702,10560,12167,12956,12514,10499,8921,8703,6635,5320,3777,1972,771,123,9543,10181,10027,9578,9116,9663,10308,11112,12154,12812,12099,10281,8960,9228,7191,6101,4730,3177,1660,465
10J,219163,108959,110204,6985,6841,6298,6389,5703,6370,7369,7406,8548,8944,8540,6743,5828,5954,4220,3100,2099,1123,425,74,6572,6467,5916,6083,5691,7055,7753,7483,8200,8572,8211,6506,5915,6358,4442,3512,2544,1756,894,274
10K,201155,98298,102857,5721,5816,5530,5928,5590,5601,5413,5251,6470,7418,7748,6963,5743,6377,4450,3633,2620,1443,493,90,5387,5478,5274,5371,5282,5969,5803,5730,6946,7817,7731,6613,5989,6857,5163,4273,3512,2193,1194,275
10L,141738,69119,72619,3436,3563,3557,4071,3690,3757,3430,3430,4046,5058,4965,4691,4623,5651,4195,3074,2113,1179,501,89,3217,3340,3328,3721,3534,3628,3478,3409,4363,5259,5192,4903,5084,5848,4492,3503,2777,2032,1186,325
10M,116567,58405,58162,3615,3716,3601,3618,3059,3501,3709,3899,4507,4824,4455,3714,3142,3213,2231,1599,1101,589,266,46,3388,3467,3511,3502,2935,3413,3734,3926,4386,4570,4126,3610,3230,3245,2296,1745,1410,981,552,135
10N,109051,54343,54708,3672,3543,3081,2978,2700,3300,3861,4262,4329,4351,3992,3303,2779,2741,1968,1565,1023,638,223,34,3471,3388,2915,2846,2676,3647,4011,4135,4200,3976,3669,3179,2868,2872,2206,1791,1311,911,527,109
10Q,708325,353450,354875,20536,20614,19402,23040,27381,25813,25298,23346,24940,26395,25138,20681,17756,17535,12665,10227,7036,3879,1503,265,19358,19679,18318,22048,27544,25878,25060,22503,24216,25513,23930,19873,18032,17987,14106,11398,8841,6215,3481,895
10R,217035,108902,108133,6825,6309,5536,6912,10226,8761,8879,7612,7632,7743,7409,6054,4937,4894,3330,2603,1781,980,413,66,6592,6081,5168,6832,10647,9035,8332,6707,6882,7247,6785,5670,4782,4882,3583,3185,2525,1857,1045,296
10T,149787,76147,73640,6341,6013,4871,4395,4506,6293,7415,6927,6178,5367,4589,3903,3034,2036,1515,1277,872,416,170,29,6228,5797,4552,4182,4693,6773,7819,6348,5138,4568,4076,3450,2611,2103,1645,1418,1174,672,295,98
10V,210199,103017,107182,5842,5945,5758,6202,5908,5821,5492,5233,6669,7788,8050,7236,6316,6575,5041,3915,2898,1620,630,78,5469,5669,5563,5930,5585,5804,5665,5511,6777,8102,8182,7194,6265,7306,5559,4696,3791,2485,1283,346
