CCG_CODE,TOTAL_ALL,TOTAL_MALE,TOTAL_FEMALE,MALE_0-4,MALE_5-9,MALE_10-14,MALE_15-19,MALE_20-24,MALE_25-29,MALE_30-34,MALE_35-39,MALE_40-44,MALE_45-49,MALE_50-54,MALE_55-59,MALE_60-64,MALE_65-69,MALE_70-74,MALE_75-79,MALE_80-84,Male_85-89,MALE_90-94,MALE_95+,FEMALE_0-4,FEMALE_5-9,FEMALE_10-14,FEMALE_15-19,FEMALE_20-24,FEMALE_25-29,FEMALE_30-34,FEMALE_35-39,FEMALE_40-44,FEMALE_45-49,FEMALE_50-54,FEMALE_55-59,FEMALE_60-64,FEMALE_65-69,FEMALE_70-74,FEMALE_75-79,FEMALE_80-84,FEMALE_85-89,FEMALE_90-94,FEMALE_95+
00C,106636,52686,53950,3186,3224,3058,2969,3094,3234,3377,3262,3740,4059,3924,3449,3068,3123,2143,1725,1140,645,235,31,2969,3129,2831,3058,3154,3338,3377,3203,3716,3855,3904,3474,3113,3155,2258,2129,1531,1061,569,126
00D,288773,143366,145407,8104,8258,7809,8647,8531,8789,8635,7999,9612,11228,10986,9890,8995,8996,6321,5066,3217,1635,562,86,7618,7885,7481,8059,8485,8472,8427,7902,9678,10972,10868,9992,9110,9251,6825,5755,4368,2694,1227,338
00F,206668,103087,103581,5702,5563,5182,6365,6432,6983,7323,6588,7204,7750,7739,6803,5938,5832,4072,3572,2455,1153,375,56,5432,5485,5026,6120,6082,6952,7077,6104,6951,7422,7433,6479,5759,6126,4646,4270,3205,1921,866,225
00G,160940,81849,79091,3855,3561,3231,4989,12448,9769,7202,5539,5212,5115,4755,4113,3405,3045,2010,1602,1098,631,233,36,3646,3311,3079,5360,13810,8512,5995,4389,4216,4372,4423,3868,3311,3015,2232,2044,1657,1101,592,158
00H,135355,68698,66657,4642,4320,3932,4119,5056,5668,5565,4941,4722,4629,4627,3983,3315,3048,2072,1763,1312,695,242,47,4320,4345,3720,3886,4618,5275,5046,4068,4082,4164,4340,3949,3241,3119,2428,2395,1798,1154,556,153
00J,249977,123542,126435,6655,6592,6181,7408,10716,8307,7821,6995,8292,9191,8814,7927,7454,7299,5343,4087,2642,1300,440,78,6228,6378,5807,7394,11371,7891,7518,7006,8160,9122,8774,8082,7356,7744,5636,4937,3486,2197,1061,287
00K,292975,144960,148015,9110,9093,8274,8983,9640,9802,9391,8427,9844,10772,10739,9612,8398,7928,5369,4469,3055,1441,542,71,8573,8905,7793,8475,9535,9768,9475,8493,9654,10724,10980,9615,8434,8234,5958,5437,4177,2373,1168,244
00L,322155,158151,164004,8051,8735,8561,9216,8712,8644,8115,8379,10141,11605,12361,11641,11149,11579,8069,6073,4068,2162,764,126,7623,8038,8182,8645,8260,8442,8520,8519,10505,12113,12735,12004,11542,12060,8626,7173,5368,3425,1793,431
00M,292030,146097,145933,9242,8964,8068,8763,10428,10926,9774,8610,9487,10379,10500,9372,8065,7967,5711,4637,3005,1578,526,95,8718,8576,7785,8488,9953,10162,9284,7815,9013,10178,10378,9266,8313,8242,6196,5500,3999,2517,1245,305
00N,155125,77439,77686,4235,4169,3896,4458,5146,5387,5064,4620,5385,5998,5974,5500,4625,4406,3040,2524,1728,907,321,56,4029,4056,3829,4191,4674,5196,4879,4304,4846,5671,5839,5265,4677,4494,3361,3096,2558,1695,843,183
00P,283810,141479,142331,7718,7891,7459,8190,9776,10154,9489,8356,10008,10644,10726,9722,8370,7855,5399,4594,3175,1413,469,71,7322,7736,6939,7870,9771,9726,8866,8032,9405,10252,10168,9449,8465,8348,6122,5555,4314,2585,1143,263
00Q,169878,86252,83626,6060,6125,5812,5986,5810,6176,6402,5720,6191,6291,5680,4883,4177,3890,2750,2027,1303,689,242,38,5689,5956,5490,5349,5418,6176,6061,5145,5701,5764,5304,4670,3995,3886,2853,2436,1827,1180,592,134
00R,171635,86611,85024,4603,4616,4439,4863,5384,5727,5559,4890,6001,6972,6881,5937,4930,5235,3898,3085,2036,1097,398,60,4507,4449,4189,4771,5348,5582,5135,4381,5432,6279,6161,5296,4691,5273,4165,3628,2753,1803,940,241
00T,299327,150888,148439,10038,10203,9341,9457,9559,10482,10554,9913,10991,11445,10351,8719,7935,7854,5591,4148,2479,1286,469,73,9519,9567,8497,8743,9391,10602,10225,8966,10226,10547,9909,8418,7695,8138,6044,4689,3510,2280,1214,259
00V,197929,98376,99553,6450,6429,5884,5715,6032,6387,6704,6168,6995,7626,7367,5990,5343,5559,3805,2888,1735,899,336,64,6073,6132,5522,5578,5880,6521,6667,6195,6832,7346,7057,5817,5341,5683,4238,3481,2505,1640,822,223
00W,221101,116720,104381,7427,7189,5949,7491,12240,12297,12510,10837,9348,8185,6682,5017,3491,2594,1944,1704,1094,524,161,36,7103,6880,5657,7839,13892,11284,10393,7925,6414,6106,4988,3805,3034,2399,2072,1907,1392,865,337,89
00X,177289,88258,89031,5242,5262,4832,4865,4970,5336,5622,5411,6479,6974,6788,5599,5294,5607,4023,2942,1763,877,326,46,4902,4870,4567,4765,4941,5616,5467,5374,6279,6818,6523,5620,5309,5696,4204,3180,2372,1513,805,210
00Y,244634,122164,122470,8540,8724,8136,7947,7833,8455,8578,7944,8738,9021,8406,6906,6251,6021,4257,3240,1879,907,332,49,8437,8551,7761,7442,7725,8829,8508,7379,8100,8316,8030,6690,6198,6278,4731,3825,2786,1748,917,219
01A,373091,186839,186252,11829,12000,11164,11471,11516,12474,12223,11258,12939,14000,13400,11661,10801,11015,7464,5480,3461,1873,713,97,11352,11523,10462,10734,11394,12384,12068,10746,12385,13186,12827,11410,10470,10996,7813,6240,4859,3272,1689,442
01C,205727,101595,104132,5448,5845,5403,5534,4951,5273,5732,6104,7324,8052,8236,6816,6412,6783,4906,3877,2737,1471,601,90,5164,5342,5289,5094,4702,5236,5753,6075,7251,8270,7983,6715,6402,7143,5417,4571,3539,2427,1380,379
01D,225320,112979,112341,7678,7729,6901,6931,7357,7815,8008,7311,8105,8536,7986,6827,6217,5623,3883,2916,1792,970,353,41,7210,7269,6471,6884,7312,8107,7946,6850,7458,7840,7462,6738,5963,5775,4263,3424,2579,1756,852,182
01E,210261,105760,104501,6265,6492,5701,6420,8549,7502,7877,6906,7508,7781,7550,6237,5402,5165,3839,3011,2015,1074,401,65,6141,6198,5417,6285,8918,7343,6944,6139,6844,7359,7234,5994,5323,5261,4099,3491,2668,1710,932,201
01F,129520,64643,64877,4022,4068,3687,3906,4111,4413,4406,4156,4710,4815,4728,4150,3849,3646,2440,1755,1039,548,168,26,3838,3925,3590,3663,4154,4425,4318,3928,4507,4549,4706,4265,3930,3609,2493,2052,1515,911,403,96
01G,256839,130242,126597,9067,8282,6726,7254,9693,11524,11582,9396,9082,9322,8664,7133,5972,5799,4011,3255,1995,1024,399,62,8620,7690,6562,7346,10272,11514,10655,8067,7895,8233,7762,6618,5605,5775,4499,3776,2771,1789,903,245
01H,521339,259011,262328,12803,13641,13495,14869,15062,14747,14448,13566,16834,19979,20580,18220,17266,18224,13365,10051,6815,3530,1291,225,12415,12794,12759,13907,14136,14229,14214,13138,17107,19772,19994,18044,17453,18231,13908,11695,8883,5977,2910,762
01J,161762,80012,81750,4995,4942,4543,5029,5604,5835,5429,4737,5424,6054,6449,5556,4416,3580,2642,2309,1545,721,173,29,4628,4639,4334,5036,5575,6042,5447,4559,5254,5994,6389,5392,4434,3859,3074,2963,2233,1259,529,110
01K,157946,78586,79360,4122,4143,3913,5477,7550,5103,5097,4378,4953,5540,5496,4658,4285,4615,3405,2684,1792,954,382,39,3892,3786,3721,5673,7516,4859,4706,4101,4692,5306,5339,4689,4437,4778,3629,3154,2457,1587,830,208
01M,198033,101756,96277,7576,7091,5848,5810,7131,9760,9685,8208,7490,7391,6310,5255,4109,3573,2493,1937,1252,573,226,38,7150,6893,5634,5663,7617,10083,8880,6718,6032,5955,5514,4607,3627,3492,2724,2310,1685,1048,489,156
01N,170808,86135,84673,5500,5089,4256,5594,8332,7866,8251,6845,6160,5966,5327,4434,3693,3092,2151,1486,1100,677,263,53,5372,4924,4108,5752,8968,8172,7941,5967,5174,5099,4760,3951,3519,3077,2282,1996,1624,1199,634,154
01R,178125,88629,89496,5091,5180,4702,5305,5436,5463,5388,5091,6267,7062,6943,5713,5165,5394,4051,3018,1893,1036,370,61,4717,4808,4667,5093,5321,5296,5208,5103,6284,6924,6608,5508,5168,5647,4323,3416,2508,1734,949,214
01T,154780,76175,78605,4351,4157,4014,4572,5091,5151,4877,4324,5093,5722,6235,5338,4624,4143,3075,2503,1725,820,305,55,4042,4068,3985,4461,4800,5229,4806,4252,5041,5774,6251,5306,4560,4328,3592,3144,2544,1529,698,195
01V,122988,59851,63137,2918,3151,3147,3421,3250,3472,3258,2993,3819,4513,4670,4071,3820,4064,3223,2625,1973,999,396,68,2738,2867,3077,3191,3242,3326,3174,3051,3839,4553,4761,4237,3965,4460,3716,3356,2669,1723,925,267
01W,303182,149898,153284,9097,9293,8298,8617,8689,9355,9808,9795,10843,11702,11216,9562,8511,8343,6011,4838,3321,1817,670,112,8771,8563,7873,8066,8402,9576,10247,9588,10650,11476,11120,9368,8464,8862,6792,5856,4717,2974,1501,418
01X,194862,96619,98243,5554,5470,5309,5640,5840,6053,6002,5784,7084,7503,7308,6088,5695,5909,4431,3446,2133,1044,288,38,5330,5449,4982,5345,5661,6171,6023,5546,6982,7299,6972,6116,5809,6274,4733,4070,2787,1664,820,210
01Y,242543,120623,121920,7757,7606,6650,7224,7604,8196,7970,7354,8803,9552,9284,7581,6674,6760,4665,3371,2120,990,395,67,7520,7231,6531,6788,7611,8512,8149,7220,8405,9135,8908,7262,6600,6703,5211,4040,2888,1913,1039,254
02A,238020,118241,119779,7519,7745,7031,6911,6697,7514,8314,8213,9166,9340,8670,7398,6028,5724,4182,3481,2468,1272,483,85,7158,7353,6877,6420,6275,7531,8415,8261,8843,8920,8585,7016,6124,6067,4804,4304,3282,2164,1072,308
02D,102849,51272,51577,3095,3185,2821,3039,3109,3080,3025,3036,3706,4164,4075,3356,3125,3048,2155,1509,1000,523,201,20,2899,2966,2733,2856,2873,3093,3036,2916,3668,4153,3952,3375,3006,3149,2243,1830,1355,903,476,95
02E,212684,106139,106545,6292,6527,6161,6191,6191,6536,7031,6899,8069,8757,8431,6719,5781,5753,4152,3253,2009,992,333,62,6038,6169,5788,5951,6065,6763,7139,6719,7665,8413,7939,6442,5778,5897,4759,3710,2584,1681,842,203
02F,257967,127342,130625,6819,7131,6680,7268,8109,8010,7866,7333,8967,9897,9986,8232,7751,7624,5815,4550,2997,1618,586,103,6467,6574,6459,7140,8617,8070,7911,7432,8749,9684,9616,8142,7658,8060,6315,5351,4033,2631,1366,350
02G,111896,55310,56586,2892,3242,3135,3525,3558,3258,2995,2976,3745,4436,4236,3639,3326,3480,2682,2094,1249,596,215,31,2755,2972,2947,3539,3686,3161,3014,2909,3835,4184,4129,3700,3475,3772,2837,2396,1622,1034,477,142
02H,322168,161394,160774,9612,9678,8878,9343,9824,10476,10594,9709,12094,13221,12094,9714,9016,9780,7410,5155,2945,1335,456,60,9262,9137,8470,8688,9720,10528,10340,9326,11477,12155,11328,9765,9064,10115,7645,5783,4041,2463,1164,303
02M,150858,73681,77177,3612,3808,3791,4211,3898,4104,3931,3618,4612,5432,5780,5099,4821,5307,4174,3306,2396,1245,479,57,3388,3701,3547,3818,3875,3914,3859,3662,4668,5614,5772,5170,4927,5746,4693,3984,3268,2200,1121,250
02N,157328,77581,79747,4446,4839,4800,4605,4299,4328,4494,4414,5324,5794,5883,5141,4762,4900,3432,2703,1880,1035,428,74,4327,4507,4413,4363,4149,4542,4418,4399,5345,5748,5815,5035,4855,5139,3668,3254,2595,1872,1026,277
02P,253864,126509,127355,7894,7531,6776,7450,7920,8156,8289,7356,9147,10226,9390,8110,7428,7217,5376,3929,2510,1300,454,50,7417,7121,6540,7108,7752,8160,8121,7183,8882,9766,9219,8099,7229,7482,5671,4646,3578,2110,1041,230
02Q,113445,56391,57054,3127,3198,3019,3372,3419,3323,3204,3105,3820,4435,4453,3767,3509,3724,2697,1962,1281,705,226,45,2999,2959,2871,3339,3260,3232,3170,3064,3860,4420,4223,3737,3590,3849,2862,2228,1665,1033,573,120
02R,337376,167119,170257,11982,12345,10917,10474,10269,11403,12245,11270,11730,12022,11469,10048,8686,7781,5186,4266,2856,1496,595,79,11705,11760,10682,10018,10205,12372,12687,10845,11117,11264,11272,9851,8441,8006,5914,5347,4268,2719,1440,344
02T,216940,107792,109148,6798,6802,6405,6624,6505,6728,7071,6732,7941,8615,8058,6964,6137,5934,4155,2951,1889,1003,423,57,6499,6797,6053,6121,6234,7031,6977,6529,7943,8235,7874,6887,5999,6070,4341,3576,2825,1927,972,258
02V,208247,103996,104251,6529,6318,5604,5690,6422,8520,9009,8177,7773,7317,6754,5882,5039,4831,3482,2921,2028,1162,464,74,6291,5909,5306,5542,6644,8778,8423,7349,6971,7061,6735,5731,5098,5252,3836,3428,2779,1883,954,281
02W,121766,64835,56931,5407,5668,5019,4704,6399,6778,7447,5815,4486,3314,2457,2139,1924,958,794,744,458,219,76,29,5334,5429,4849,4716,6133,5860,5307,4090,3392,2672,1990,1896,1595,1016,824,785,579,301,122,41
02X,311749,154796,156953,9569,9590,8625,9179,9766,10199,10157,9201,10463,11409,11719,10231,8853,8687,6363,4857,3422,1813,587,106,9168,9303,8257,8858,9465,10460,9947,8483,10121,11490,11372,9986,8962,9103,6726,6058,4628,2822,1406,338
02Y,301730,148709,153021,7548,7875,7769,8509,8351,7724,7447,7635,9705,10939,11505,10483,10101,11247,8062,6412,4277,2214,782,124,6865,7542,7530,8222,7795,7539,7429,7810,10118,11418,11335,10399,10417,11860,8584,7184,5298,3382,1846,448
03A,242536,121158,121378,7328,7540,6796,7561,9441,8166,8016,7534,8775,9227,8572,7290,6559,6486,4436,3542,2181,1203,435,70,7120,7115,6529,7348,8790,7933,7897,7387,8547,8719,8279,7125,6482,6756,4828,4070,3116,2035,1038,264
03C,366061,182047,184014,10178,9370,7984,11847,21617,18042,15517,12949,12249,11975,10920,9173,8031,7603,5278,4164,2893,1544,619,94,9564,8851,7586,13530,25538,17162,13953,10982,11019,10929,10405,8862,7839,8143,5808,5250,4127,2774,1344,348
03D,142724,69992,72732,3414,3639,3888,4016,3609,3559,3320,3199,4241,5239,5703,5123,5019,5454,3953,3051,2039,1055,408,63,3244,3428,3551,3784,3525,3745,3451,3455,4511,5639,5794,5132,5186,5543,4103,3444,2518,1667,814,198
03E,161449,79358,82091,4063,4530,4474,4485,4066,4215,4613,4592,5692,6456,6537,5525,4717,5143,3665,2975,1991,1096,451,72,3846,4315,4270,4467,3890,4377,4586,4629,5715,6605,6233,5480,4950,5251,4015,3539,2629,1931,1062,301
03F,288964,146051,142913,9731,8892,7832,8649,11140,11253,10653,9741,10484,10759,10335,8782,7597,7106,4566,4009,2648,1335,464,75,9203,8496,7150,8186,11591,11264,10116,8364,9251,9652,9819,8261,7351,7047,5146,4682,3701,2285,1099,249
03G,269493,136684,132809,9732,8947,7668,7803,8787,10430,11288,10264,10338,9997,9217,7303,6396,6194,4508,3676,2408,1255,415,58,9152,8764,7365,7495,8896,10306,10166,8650,8873,9057,8251,7221,6310,6333,5008,4416,3245,2044,997,260
03H,168683,84513,84170,5095,5159,4563,5080,5336,5821,5159,4678,5806,6272,6432,5452,4975,4928,3513,2863,1993,967,370,51,4876,4792,4413,4750,5255,5619,5137,4366,5352,6162,6171,5292,4696,5032,3710,3351,2573,1589,823,211
03J,188019,94196,93823,6513,6713,6212,6140,6050,6428,6774,6244,6862,6903,6174,5231,4834,4581,3264,2646,1482,813,289,43,6246,6407,6014,5820,5858,6773,6687,5858,6441,6432,5809,5068,4682,4717,3538,2936,2200,1409,721,207
03K,170570,85268,85302,4721,5129,4702,4955,5056,5222,5142,4626,5614,6656,6592,5731,5279,5463,3963,3071,1903,1016,370,57,4656,4749,4455,4704,4824,5151,4971,4511,5550,6389,6261,5635,5335,5465,4125,3282,2569,1580,880,210
03L,258781,128527,130254,7785,8015,7444,7878,8110,8174,8144,7455,9129,10015,9401,8113,7344,7446,5383,4093,2665,1374,472,87,7684,7619,7149,7514,8004,8253,8193,7227,8844,9554,9125,8030,7351,7649,5852,4989,3609,2202,1111,295
03M,118538,58821,59717,2957,3017,3126,3553,3584,3509,3213,2941,3630,4238,4508,3968,3846,4184,3123,2443,1616,926,354,85,2798,2893,2839,3192,3415,3338,2966,2829,3587,4177,4353,4153,3960,4381,3453,2781,2191,1448,767,196
03N,587514,296450,291064,17149,16786,15272,20770,30540,23895,20664,19005,20136,20986,19284,16038,13716,13472,10431,8335,5527,3063,1179,202,16220,16132,14569,20864,30009,21675,19168,16478,18417,19168,17906,15327,13529,14319,11403,9969,7585,4982,2591,753
03Q,348363,170174,178189,8766,8996,8551,10487,13531,11582,11101,10243,11743,12556,12390,10685,9859,10096,7100,5600,3837,2079,835,137,8272,8820,8447,11301,15918,11822,10908,10017,11466,12425,12322,10566,9972,10635,7826,6677,5091,3442,1798,464
03R,360538,180015,180523,11006,10717,9722,10455,11167,12151,12155,10970,13263,14374,13303,11456,10182,10344,7317,5497,3495,1728,619,94,10310,10109,9318,10031,10920,12162,11651,10349,12604,13819,12884,11320,10340,10677,7862,6419,4906,3004,1444,394
03T,244731,120719,124012,6194,6322,6038,6778,6773,6808,6471,5821,7207,8400,8636,8033,8223,9645,7351,5526,3667,2009,698,119,5970,6197,5749,6396,6453,6934,6248,5721,7445,8561,8988,8398,8623,9811,7573,5915,4353,2853,1424,400
03V,73093,36443,36650,2520,2493,2113,2097,2253,2654,2998,2492,2505,2838,2735,2271,1819,1560,1187,921,547,304,125,11,2430,2357,2062,2078,2366,2999,2796,2331,2298,2757,2599,2201,1852,1665,1295,1033,773,476,229,53
03W,322230,158653,163577,8676,9303,9258,10049,8476,8590,8660,8762,11010,12376,12312,10562,9814,10171,7631,5819,4038,2170,842,134,8175,8774,8753,9161,8380,8656,9142,9296,11307,12642,12297,10442,9935,10699,8029,6903,5298,3401,1830,457
03X,97312,48625,48687,2834,2736,2496,2794,2994,3032,3105,2817,3583,3923,3776,3154,2805,2924,2143,1596,1104,563,212,34,2597,2522,2346,2730,2864,3157,3018,2789,3408,3888,3599,3021,2783,2945,2264,1856,1414,922,458,106
03Y,102399,50965,51434,2817,2880,2644,2982,3122,3045,3034,2790,3518,4139,3857,3417,3142,3235,2545,1771,1192,575,210,50,2658,2732,2609,2845,2974,3087,2951,2675,3558,3930,3665,3316,3029,3373,2638,2018,1573,1085,571,147
04C,374577,189766,184811,13053,12914,11436,12251,17343,16600,17127,14704,13097,12146,11441,9985,8306,6512,4459,3728,2590,1398,544,132,12723,12101,10636,12202,18993,16941,15342,12184,11505,11156,10634,9260,7840,6466,4937,4566,3440,2352,1201,332
04D,230924,113274,117650,6635,6548,6061,7459,8250,7473,7039,6274,7290,8118,8251,6808,6413,6842,5207,3942,2613,1440,537,74,6269,6194,5669,7781,9000,7693,7234,6409,7561,8270,8121,6872,6576,7014,5531,4392,3324,2227,1202,311
04E,187599,93081,94518,5931,5494,4930,5260,5619,6271,6294,5529,6464,7356,6859,6006,5469,5285,4042,2934,1878,1015,383,62,5719,5258,4635,5041,5732,6469,6132,5398,6244,7027,6824,5902,5330,5575,4376,3437,2657,1714,825,223
04F,278383,139303,139080,10333,10077,8855,8296,7866,9423,11169,11414,11307,10635,9508,8037,6882,5944,3873,2667,1686,928,355,48,9701,9565,8446,7789,7875,10457,11599,10901,10518,10009,9112,7846,6998,6187,4034,3112,2301,1576,850,204
04G,650626,324782,325844,20523,20798,18962,19272,19361,20884,21970,21772,24607,25897,23535,19506,17586,18146,12381,8866,5998,3244,1268,206,19550,20275,18063,18385,19790,21640,22223,20750,23549,24407,22510,18924,17823,18448,12980,9888,7616,5363,2910,750
04H,130120,64252,65868,3603,3626,3563,3819,3793,3706,3684,3454,4438,5159,4972,4209,3990,4224,3058,2321,1541,770,270,52,3379,3619,3413,3533,3703,3723,3667,3525,4547,5088,4884,4329,4000,4399,3277,2666,1994,1293,650,179
04J,290299,143790,146509,7072,7649,7438,8217,8446,8046,8039,7796,10062,11591,11464,10130,9385,9745,7216,5294,3510,1886,692,112,7162,7328,7098,7619,7997,7757,7643,7742,9909,11357,11184,9947,9524,10269,7691,6317,4669,3164,1689,443
04K,360957,186623,174334,11196,10272,8607,14191,25714,20102,16407,13358,12148,11335,10283,8103,6870,5987,4230,3438,2484,1313,512,73,10592,9730,8208,15019,26186,15366,13155,10290,9927,10096,9563,7748,6499,5901,4638,4211,3399,2401,1158,247
04L,148707,73199,75508,4419,4343,3921,4014,4215,4538,4558,4311,5113,5840,5659,4735,4273,4434,3276,2576,1727,877,313,57,4118,4038,3654,3966,4254,4738,4644,4421,5194,5685,5608,4665,4456,4752,3576,3030,2231,1511,769,198
04M,94309,46346,47963,2775,2606,2329,2452,2666,2973,3095,2891,3309,3701,3377,2869,2675,2863,2167,1569,1167,583,240,39,2662,2440,2222,2406,2645,3150,3185,2820,3305,3578,3388,2836,2811,2973,2347,1939,1523,1029,580,124
04N,123082,60450,62632,3396,3624,3461,3508,3177,3260,3439,3781,4436,4765,4668,3887,3674,3818,2745,2063,1543,825,332,48,3131,3576,3196,3246,3273,3309,3714,3939,4412,4840,4651,3901,3718,4038,2945,2446,2000,1404,726,167
04Q,131460,64698,66762,3476,3630,3846,3963,3512,3379,3361,3217,4366,5037,5132,4330,4130,4449,3362,2525,1682,913,338,50,3341,3635,3613,3709,3453,3462,3408,3472,4720,5350,5067,4260,4219,4608,3588,2665,1959,1325,736,172
04R,540086,271485,268601,16240,16571,15528,16688,17760,17803,18478,17572,19956,21114,19452,16178,14776,14823,10678,8016,5591,3011,1078,172,15687,15538,14215,15809,17142,17388,17556,16418,18518,20054,18482,15803,14576,15259,11431,9326,7306,4928,2524,641
04V,372740,187482,185258,10271,10602,10098,12224,14397,12098,11385,11030,13095,14123,13530,11571,11088,11322,7900,5918,3876,2054,777,123,9766,9913,9629,10826,12643,11259,11465,10841,12888,13750,13056,11401,11113,11446,8343,6418,4895,3398,1762,446
04X,251007,128008,122999,9286,9253,8127,8040,9812,11221,11454,10339,9590,8577,7483,6280,5293,4232,3211,2606,1843,955,332,74,8915,8659,7691,7999,10789,11200,10507,8464,7710,7401,6679,5750,5070,4419,3562,3063,2395,1627,880,219
04Y,133481,66439,67042,3811,3650,3657,4190,4128,4188,3939,3679,4763,5564,5125,4247,3905,4034,3060,2205,1326,713,227,28,3614,3658,3348,3792,4018,4172,4051,3632,4758,5356,4911,4189,4017,4128,3271,2488,1733,1153,592,161
05A,481153,243991,237162,15785,15107,13389,16207,21465,18642,18418,16604,17391,17561,16259,13233,11016,10399,8134,6312,4229,2570,1076,194,14786,14346,12775,15652,21073,18508,17560,14946,15214,15642,14422,11981,10719,10824,8961,7441,5617,3839,2238,618
05C,314593,156649,157944,9415,9090,8880,9462,9454,9814,9612,9053,11012,12152,11375,9555,9044,9223,7321,5672,3735,1998,667,115,8981,8669,8464,8828,9116,9801,9770,8748,10721,11505,10806,9389,9071,9296,7802,6626,5070,3275,1578,428
05D,137217,68393,68824,4084,4105,3940,3997,4082,4369,4555,3997,4834,5426,5117,4512,3813,3863,2940,2178,1477,772,292,40,3984,4044,3845,3802,4019,4295,4162,3934,4626,5286,4958,4221,3876,4028,3175,2547,2022,1280,582,138
05F,182927,90387,92540,4835,5057,4799,5193,4751,4811,4862,4589,5655,6848,6794,6288,5982,6481,4929,3819,2615,1476,512,91,4431,4445,4623,4789,4613,4970,4862,4608,5785,6899,6741,6352,6175,6717,5143,4156,3321,2351,1226,333
05G,214991,107080,107911,5419,5586,5594,6437,7323,6601,6308,5906,7428,8000,7969,7036,6673,7128,5295,3916,2562,1340,485,74,5097,5299,5231,6314,7370,6087,5985,5705,7150,7817,7603,6938,6770,7264,5497,4548,3494,2301,1168,273
05H,185336,92307,93029,5403,5202,4949,5437,5635,5741,5660,5438,6664,7290,6871,6021,5669,5702,4230,3052,2012,947,340,44,5158,5174,4929,5113,5406,5794,5672,5210,6247,7153,6648,5756,5631,5903,4473,3486,2593,1659,836,188
05J,172838,86302,86536,5203,5215,4932,5139,4911,5141,5529,5369,6058,6678,6307,5537,5387,5313,3762,2614,1766,1012,380,49,4763,4829,4542,4826,4822,5200,5513,5175,5925,6444,6163,5701,5542,5286,3828,2944,2393,1564,859,217
05L,551400,282761,268639,20289,19440,17424,17778,21375,24787,24448,21369,21144,19914,17249,14237,11590,9675,8002,6488,4370,2240,818,124,18798,18797,16225,16806,21737,23592,22428,17837,17465,17391,15835,12718,11051,9851,8732,7782,5784,3650,1707,453
05N,302419,149252,153167,7434,7934,8198,9195,8061,8014,7509,7465,9768,11432,11543,10223,9894,10782,8245,6183,4196,2196,828,152,6986,7504,7885,8431,7510,7652,7561,7589,9971,11630,11476,10291,10187,11201,8845,6922,5342,3561,2070,553
